score,company,website,industry,country,employee_estimate,what_they_sell,why_vexy_fit,sales_need_signal,signal_date,decision_maker_name,decision_maker_role,email,email_status,linkedin,source_1,source_2,suggested_angle,notes
76,SecureOn,secureon.cz,Cybersecurity / compliance,CZ,10-50 (est.),"NIS2 audits, penetration testing, GAP analysis, incident response, SOC monitoring","High-ticket advisory sold through meetings; every mid-size CZ company is now in scope of the new cyber-security act, so the addressable list is large and time-boxed","Act 264/2025 on cyber security is in its implementation window; survey cited 79% of firms find it hard to evaluate security vendors, i.e. a crowded market where outbound access matters",2026,,Founder / Managing Director,info@secureon.cz,INFERRED_NOT_VERIFIED,,https://secureon.cz/,https://www.businessinfo.cz/clanky/jaka-je-realita-duvery-v-kyberneticke-bezpecnosti-v-roce-2026/,NIS2 deadline creates a finite window of buyers - offer outbound to reach compliance-obliged mid-caps before competitors do.,UNVERIFIED: contact page could not be opened in this environment; email inferred from domain.
74,KARAT Software a.s.,karatsoftware.cz,ERP / business IS,CZ,50-100 (est.),"KARAT ERP for manufacturing, logistics, trade; 30+ years, Prerov-based, own partner network","Classic high-ticket ERP: long demo-led sales cycle, one customer worth years of licence and services, clear need for a steady flow of qualified meetings","Maintains a dedicated sales director role and a reseller network, implying an active sales motion to feed",,Daniel Holec (UNVERIFIED),Obchodni reditel / Sales Director,info@karatsoftware.cz,PUBLIC_GENERIC,,https://www.karatsoftware.cz/kontakt/,https://rocketreach.co/daniel-holec-email_105186420,High-ticket ERP for manufacturers with a partner-led motion - offer to take over top-of-funnel prospecting and book demos directly for the internal team.,"Name/role come from an aggregator and a search summary, NOT from the company site - verify before use. info@ address was surfaced as published contact info but the page was not opened."
72,"KVADOS, a.s.",kvados.cz,WMS / enterprise software,CZ,100-250 (est.),"mySTOCK WMS warehouse management incl. a production variant, plus own enterprise software; Ostrava-based","Warehouse/production software is a considered, meeting-led purchase with large deal sizes and a well-defined target list of manufacturers and distributors",Publishes customer case studies (e.g. DAKO-CZ) - an active marketing motion that outbound can feed,,,Sales Director / Commercial Director,info@kvados.cz,INFERRED_NOT_VERIFIED,,https://www.kvados.cz/,https://mystock.kvados.cz/production/,WMS deals hinge on reaching operations directors at the right moment - offer systematic outbound into manufacturing and distribution accounts.,UNVERIFIED: site could not be opened; email inferred from domain.
71,ARFIN,arfin.cz,Factoring / B2B financing,CZ,10-50 (est.),"Factoring and receivables financing for Czech companies, independent of a bank group","Independent (not a bank subsidiary), so it can actually buy a service like this; customer LTV is high and recurring, and the buyer is a CFO/owner reachable by name","Czech factoring market grew 27.2% year on year in H1, well above the ~10% European average - a growing market where share is won by reach",2025-2026,,Managing Director / Commercial Director,info@arfin.cz,INFERRED_NOT_VERIFIED,,https://www.arfin.cz/faktoring,https://www.cfotrends.cz/clanky/faktoring-urychli-rust-spolecnosti-a-usetri-administrativu/,Factoring is growing 27% a year and the banks have the brand - offer outbound to reach CFOs of mid-size firms before the bank subsidiaries do.,"UNVERIFIED: site could not be opened; email inferred from domain. Independent providers score above the bank-owned ones (CS, CSOB, KB, Raiffeisen, UniCredit), whose local management is unlikely to buy this autonomously."
70,GRiT,grit.eu,WMS / EDI / supply-chain software,CZ,50-150 (est.),"LOKIA WMS for e-shops, trading and manufacturing companies; supply-chain and EDI products",Recurring-revenue software with a definable ICP; deal values justify paid appointment setting,"Multi-product portfolio aimed at several verticals, which usually outruns a small in-house sales team",,,Head of Sales / Commercial Director,info@grit.eu,INFERRED_NOT_VERIFIED,,https://www.grit.eu/skladovy-system-lokia-wms,,"Several products, one sales team - offer to run dedicated outbound for the WMS line so reps only take qualified calls.",UNVERIFIED: site could not be opened; email inferred from domain.
69,B:TECH a.s.,btech.cz,Industrial automation / robotics,CZ,100-300 (est.),"Automation and robotisation of production and assembly lines, 24/7 service; strong automotive focus","Project values run to millions of CZK, sold through plant visits and technical meetings - one extra booked meeting can pay for a year of VEXY",Automotive concentration is a strategic risk that usually drives diversification into new verticals - exactly what outbound is for,,,Obchodni reditel / Sales Director,info@btech.cz,INFERRED_NOT_VERIFIED,,https://www.btech.cz/,,"Heavy automotive exposure - offer outbound into food, pharma and e-commerce logistics to diversify the pipeline.",UNVERIFIED: site could not be opened; email inferred from domain.
68,Roger (fintech),roger.cz,B2B fintech / invoice financing,CZ,20-60 (est.),Invoice financing platform shortening payment terms to ~3 days; on the market since 2013,Fintech with recurring revenue per client and a clearly definable ICP (SMEs with receivables); typically founder-led or lean commercial team,Operates in the same fast-growing factoring market (+27.2% H1) against bank-backed incumbents,2025-2026,,Founder / CEO / Head of Sales,info@roger.cz,INFERRED_NOT_VERIFIED,,https://roklen24.cz/srovnani-faktoringovych-sluzeb-na-koho-se-muzete-obratit/,,Competing with bank factoring arms on reach rather than product - offer a predictable outbound channel to SME finance decision makers.,UNVERIFIED: domain not confirmed from a search result URL - CHECK THE DOMAIN before any send. Company existence and description are from a comparison article.
67,AUTMES,autmes.cz,Industrial automation / MES,CZ,20-60 (est.),"System integration: industrial automation, SCADA, production management (MES), robotisation; Hradec Kralove",Owner-led integrator with high project values and a technical sale; small firms of this type rarely have a dedicated prospecting function,"Positions explicitly as a system integrator, a referral-driven business model that outbound can widen",,,Jednatel / Owner,info@autmes.cz,INFERRED_NOT_VERIFIED,,https://autmes.cz/o-nas/,https://autmes.cz/,Integrator growth is usually capped by referrals - offer a repeatable outbound channel to plant managers in the region.,UNVERIFIED: site could not be opened; email inferred from domain.
67,BOOTIQ,bootiq.io,Custom software / digital,CZ,50-150 (est.),Custom software and digital product development,Project values are high and the sale is meeting-led; they are visibly investing in outbound sales capacity right now,"Actively hiring a Business Development Manager whose job description explicitly requires cold outreach by email, LinkedIn and phone, and turning it into first meetings",2026-04-23,,CEO / Head of Sales,info@bootiq.io,INFERRED_NOT_VERIFIED,,https://www.startupjobs.cz/nabidka/103499/business-development-manager,,"They are hiring a BDM specifically to do cold outreach - offer VEXY as the faster, already-running version of what that hire will spend six months building.",UNVERIFIED: job page could not be opened; details come from a search summary. DOMAIN IS A GUESS - confirm before any send. Strongest explicit trigger found in this pass.
66,Bibby Financial Services CZ,bibbyfinancialservices.cz,Factoring / B2B financing,CZ,20-80 (est.),Factoring and alternative company financing; independent international group,"Independent of Czech banking groups, sells a recurring high-value service to SME owners and CFOs","Publishes an information portal / content marketing operation, which outbound complements",2025,,Country Manager / Commercial Director,info@bibbyfinancialservices.cz,INFERRED_NOT_VERIFIED,,https://www.bibbyfinancialservices.cz/informacni-portal/clanek/2025/faktoring-a-jine-zdroje-financovani-firem,,Content brings inbound but not volume - offer outbound to CFOs in the segments their content already targets.,UNVERIFIED: site could not be opened. Local CZ management autonomy is unconfirmed - a possible MANUAL_EXCLUDE if decisions sit with the group.
66,Recruit CZ,recruit.cz,Executive search / headhunting,CZ,20-60 (est.),"Executive search and headhunting for senior and top management across CZ/SK and Central Europe, 20+ years","Placement fees are large and recurring per client; buyers are HR and C-level, reachable by name",,,,Managing Partner / Owner,info@recruit.cz,INFERRED_NOT_VERIFIED,,https://www.recruit.cz/,,Consultants bill hours they would otherwise spend prospecting - offer to hand them booked client meetings instead.,UNVERIFIED: site could not be opened. CAUTION: search firms often run their own outbound and may see VEXY as overlapping - expect a higher objection rate in this segment.
65,MH Automatizace,mhautomatizace.cz,Industrial automation / robotics,CZ,10-50 (est.),"Industrial automation and workplace robotisation, control software, electrical manufacturing and installation",High-ticket engineering projects sold by the owner; classic case of technical capacity outrunning sales capacity,,,,Jednatel / Owner,info@mhautomatizace.cz,INFERRED_NOT_VERIFIED,,https://www.mhautomatizace.cz/,,Robotisation demand is strong but buyers are hard to time - offer continuous outbound so enquiries do not depend on word of mouth.,UNVERIFIED: site could not be opened; email inferred from domain.
64,Teramex,teramex.cz,Industrial automation / robotics,CZ,20-80 (est.),"Robotic workplaces and automation solutions, design through programming and maintenance; Hustopece",Turnkey robotics projects with meeting-led sales and substantial deal values,,,,Obchodni reditel / Jednatel,info@teramex.cz,INFERRED_NOT_VERIFIED,,https://www.teramex.cz/produkty-reseni/prumyslova-automatizace,,Regional integrator with national-scale capability - offer outbound beyond South Moravia.,UNVERIFIED: site could not be opened; email inferred from domain.
64,Trescon,trescon.cz,Recruitment,CZ,20-60 (est.),"Custom recruitment across manufacturing, services, food production and pharma; Brno, since 1997",Long-established regional agency whose growth depends on a steady flow of new client companies,,,,Jednatel / Owner,info@trescon.cz,INFERRED_NOT_VERIFIED,,https://www.trescon.cz/en/,,Established in manufacturing recruitment - offer outbound into the plants they do not yet serve.,UNVERIFIED: site could not be opened; email inferred from domain.
63,CS Machine s.r.o.,csmachine.cz,Industrial automation / special machines,CZ,20-80 (est.),"Robot integration into production technologies, special-purpose machine construction",Bespoke machinery is high-value and consultative; the buyer is a technical director reachable by targeted outbound,,,,Jednatel / Owner,info@csmachine.cz,INFERRED_NOT_VERIFIED,,https://www.csmachine.cz/robotizace,,Special-machine builders live on a thin pipeline of large enquiries - offer to keep it filled.,UNVERIFIED: site could not be opened; email inferred from domain.
62,GIT (gitisit),gitisit.cz,IT recruitment,CZ,10-40 (est.),"Boutique IT recruitment and personnel consulting, recruiting IT roles since 2000",Boutique agency with high per-placement value and almost certainly no dedicated prospecting function,,,,Owner / Managing Director,info@gitisit.cz,INFERRED_NOT_VERIFIED,,https://www.gitisit.cz/,,"Boutique IT recruiters win on relationships, not reach - offer the reach half.",UNVERIFIED: site could not be opened; email inferred from domain.
61,Arthur Hunt CZ,arthur-hunt.cz,Executive search,CZ,10-40 (est.),Executive search for top management in the Czech Republic; part of an international group,"High-fee engagements, C-level buyers",,,,Managing Director CZ,info@arthur-hunt.cz,INFERRED_NOT_VERIFIED,,https://www.arthur-hunt.cz/en,,Local office of an international brand - offer outbound to build the CZ client base independently of group referrals.,UNVERIFIED: site could not be opened. Group-level buying could make this a MANUAL_EXCLUDE - check local autonomy.
60,Machine Building,machinebuilding.cz,Special machines / automation,CZ,10-50 (est.),"Development and manufacture of special-purpose machines, automation and robotisation, control systems",Bespoke machine building with high project values,,,,Jednatel / Owner,info@machinebuilding.cz,INFERRED_NOT_VERIFIED,,https://machinebuilding.cz/automatizace-a-robotizace,,Capacity-led business with referral-led sales - offer a second channel.,UNVERIFIED: site could not be opened; email inferred from domain.
